jurisdiction,year,ipcc_code,iea_code,Product,tax_rate_incl_ex_clcu,ets_price_clcu,ets_2_price_clcu,tax_curr_code,ets_curr_code,ets_2_curr_code,tax_rate_incl_ex_usd,ets_price_usd,ets_2_price_usd,tax_rate_incl_ex_kusd,ets_price_kusd,ets_2_price_kusd,tax_curr_x_rate,ets_curr_x_rate,ets_2_curr_x_rate
Malta,1989,0,,,,,,,,,,,,,,,,,
Malta,1989,1,,,,,,,,,,,,,,,,,
Malta,1989,1A,ABFLOW001,Coal,,,,,,,,,,,,,,,
Malta,1989,1A,ABFLOW001,Natural gas,,,,,,,,,,,,,,,
Malta,1989,1A,ABFLOW001,Oil,,,,,,,,,,,,,,,
Malta,1989,1A1,,Coal,,,,,,,,,,,,,,,
Malta,1989,1A1,,Natural gas,,,,,,,,,,,,,,,
Malta,1989,1A1,,Oil,,,,,,,,,,,,,,,
Malta,1989,1A1A,ABFLOW002,Coal,,,,,,,,,,,,,,,
Malta,1989,1A1A,ABFLOW002,Natural gas,,,,,,,,,,,,,,,
Malta,1989,1A1A,ABFLOW002,Oil,,,,,,,,,,,,,,,
Malta,1989,1A1A1,ABFLOW003,Coal,,,,,,,,,,,,,,,
Malta,1989,1A1A1,ABFLOW003,Natural gas,,,,,,,,,,,,,,,
Malta,1989,1A1A1,ABFLOW003,Oil,,,,,,,,,,,,,,,
Malta,1989,1A1A2,ABFLOW004,Coal,,,,,,,,,,,,,,,
Malta,1989,1A1A2,ABFLOW004,Natural gas,,,,,,,,,,,,,,,
Malta,1989,1A1A2,ABFLOW004,Oil,,,,,,,,,,,,,,,
Malta,1989,1A1A3,ABFLOW005,Coal,,,,,,,,,,,,,,,
Malta,1989,1A1A3,ABFLOW005,Natural gas,,,,,,,,,,,,,,,
Malta,1989,1A1A3,ABFLOW005,Oil,,,,,,,,,,,,,,,
Malta,1989,1A1B,ABFLOW011,Coal,,,,,,,,,,,,,,,
Malta,1989,1A1B,ABFLOW011,Natural gas,,,,,,,,,,,,,,,
Malta,1989,1A1B,ABFLOW011,Oil,,,,,,,,,,,,,,,
Malta,1989,1A1C,ABFLOW011,Coal,,,,,,,,,,,,,,,
Malta,1989,1A1C,ABFLOW011,Natural gas,,,,,,,,,,,,,,,
Malta,1989,1A1C,ABFLOW011,Oil,,,,,,,,,,,,,,,
Malta,1989,1A2,ABFLOW012,Coal,,,,,,,,,,,,,,,
Malta,1989,1A2,ABFLOW012,Natural gas,,,,,,,,,,,,,,,
Malta,1989,1A2,ABFLOW012,Oil,,,,,,,,,,,,,,,
Malta,1989,1A2A,ABFLOW016,Coal,,,,,,,,,,,,,,,
Malta,1989,1A2A,ABFLOW016,Natural gas,,,,,,,,,,,,,,,
Malta,1989,1A2A,ABFLOW016,Oil,,,,,,,,,,,,,,,
Malta,1989,1A2B,ABFLOW018,Coal,,,,,,,,,,,,,,,
Malta,1989,1A2B,ABFLOW018,Natural gas,,,,,,,,,,,,,,,
Malta,1989,1A2B,ABFLOW018,Oil,,,,,,,,,,,,,,,
Malta,1989,1A2C,ABFLOW017,Coal,,,,,,,,,,,,,,,
Malta,1989,1A2C,ABFLOW017,Natural gas,,,,,,,,,,,,,,,
Malta,1989,1A2C,ABFLOW017,Oil,,,,,,,,,,,,,,,
Malta,1989,1A2D,ABFLOW023,Coal,,,,,,,,,,,,,,,
Malta,1989,1A2D,ABFLOW023,Natural gas,,,,,,,,,,,,,,,
Malta,1989,1A2D,ABFLOW023,Oil,,,,,,,,,,,,,,,
Malta,1989,1A2E,ABFLOW022,Coal,,,,,,,,,,,,,,,
Malta,1989,1A2E,ABFLOW022,Natural gas,,,,,,,,,,,,,,,
Malta,1989,1A2E,ABFLOW022,Oil,,,,,,,,,,,,,,,
Malta,1989,1A2F,ABFLOW019,Coal,,,,,,,,,,,,,,,
Malta,1989,1A2F,ABFLOW019,Natural gas,,,,,,,,,,,,,,,
Malta,1989,1A2F,ABFLOW019,Oil,,,,,,,,,,,,,,,
Malta,1989,1A2G,ABFLOW020,Coal,,,,,,,,,,,,,,,
Malta,1989,1A2G,ABFLOW020,Natural gas,,,,,,,,,,,,,,,
Malta,1989,1A2G,ABFLOW020,Oil,,,,,,,,,,,,,,,
Malta,1989,1A2H,ABFLOW021,Coal,,,,,,,,,,,,,,,
Malta,1989,1A2H,ABFLOW021,Natural gas,,,,,,,,,,,,,,,
Malta,1989,1A2H,ABFLOW021,Oil,,,,,,,,,,,,,,,
Malta,1989,1A2I,ABFLOW013,Coal,,,,,,,,,,,,,,,
Malta,1989,1A2I,ABFLOW013,Natural gas,,,,,,,,,,,,,,,
Malta,1989,1A2I,ABFLOW013,Oil,,,,,,,,,,,,,,,
Malta,1989,1A2J,ABFLOW024,Coal,,,,,,,,,,,,,,,
Malta,1989,1A2J,ABFLOW024,Natural gas,,,,,,,,,,,,,,,
Malta,1989,1A2J,ABFLOW024,Oil,,,,,,,,,,,,,,,
Malta,1989,1A2K,ABFLOW014,Coal,,,,,,,,,,,,,,,
Malta,1989,1A2K,ABFLOW014,Natural gas,,,,,,,,,,,,,,,
Malta,1989,1A2K,ABFLOW014,Oil,,,,,,,,,,,,,,,
Malta,1989,1A2L,ABFLOW025,Coal,,,,,,,,,,,,,,,
Malta,1989,1A2L,ABFLOW025,Natural gas,,,,,,,,,,,,,,,
Malta,1989,1A2L,ABFLOW025,Oil,,,,,,,,,,,,,,,
Malta,1989,1A2M,ABFLOW026,Coal,,,,,,,,,,,,,,,
Malta,1989,1A2M,ABFLOW026,Natural gas,,,,,,,,,,,,,,,
Malta,1989,1A2M,ABFLOW026,Oil,,,,,,,,,,,,,,,
Malta,1989,1A3,ABFLOW027,Coal,,,,,,,,,,,,,,,
Malta,1989,1A3,ABFLOW027,Natural gas,,,,,,,,,,,,,,,
Malta,1989,1A3,ABFLOW027,Oil,,,,,,,,,,,,,,,
