jurisdiction,year,ipcc_code,iea_code,Product,tax_rate_incl_ex_clcu,ets_price_clcu,ets_2_price_clcu,tax_curr_code,ets_curr_code,ets_2_curr_code,tax_rate_incl_ex_usd,ets_price_usd,ets_2_price_usd,tax_rate_incl_ex_kusd,ets_price_kusd,ets_2_price_kusd,tax_curr_x_rate,ets_curr_x_rate,ets_2_curr_x_rate
Guangdong Province,1990,1A1A,ABFLOW002,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1990,1A1A,ABFLOW002,Oil,,,,,,,,,,,,,,,
Guangdong Province,1990,1A1A1,ABFLOW003,Coal,,,,,,,,,,,,,,,
Guangdong Province,1990,1A1A1,ABFLOW003,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1990,1A1A1,ABFLOW003,Oil,,,,,,,,,,,,,,,
Guangdong Province,1990,1A1A2,ABFLOW004,Coal,,,,,,,,,,,,,,,
Guangdong Province,1990,1A1A2,ABFLOW004,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1990,1A1A2,ABFLOW004,Oil,,,,,,,,,,,,,,,
Guangdong Province,1990,1A1A3,ABFLOW005,Coal,,,,,,,,,,,,,,,
Guangdong Province,1990,1A1A3,ABFLOW005,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1990,1A1A3,ABFLOW005,Oil,,,,,,,,,,,,,,,
Guangdong Province,1990,1A1B,ABFLOW011,Coal,,,,,,,,,,,,,,,
Guangdong Province,1990,1A1B,ABFLOW011,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1990,1A1B,ABFLOW011,Oil,,,,,,,,,,,,,,,
Guangdong Province,1990,1A1C,ABFLOW011,Coal,,,,,,,,,,,,,,,
Guangdong Province,1990,1A1C,ABFLOW011,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1990,1A1C,ABFLOW011,Oil,,,,,,,,,,,,,,,
Guangdong Province,1990,1A2,ABFLOW012,Coal,,,,,,,,,,,,,,,
Guangdong Province,1990,1A2,ABFLOW012,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1990,1A2,ABFLOW012,Oil,,,,,,,,,,,,,,,
Guangdong Province,1990,1A2A,ABFLOW016,Coal,,,,,,,,,,,,,,,
Guangdong Province,1990,1A2A,ABFLOW016,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1990,1A2A,ABFLOW016,Oil,,,,,,,,,,,,,,,
Guangdong Province,1990,1A2B,ABFLOW018,Coal,,,,,,,,,,,,,,,
Guangdong Province,1990,1A2B,ABFLOW018,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1990,1A2B,ABFLOW018,Oil,,,,,,,,,,,,,,,
Guangdong Province,1990,1A2C,ABFLOW017,Coal,,,,,,,,,,,,,,,
Guangdong Province,1990,1A2C,ABFLOW017,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1990,1A2C,ABFLOW017,Oil,,,,,,,,,,,,,,,
Guangdong Province,1990,1A2D,ABFLOW023,Coal,,,,,,,,,,,,,,,
Guangdong Province,1990,1A2D,ABFLOW023,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1990,1A2D,ABFLOW023,Oil,,,,,,,,,,,,,,,
Guangdong Province,1990,1A2E,ABFLOW022,Coal,,,,,,,,,,,,,,,
Guangdong Province,1990,1A2E,ABFLOW022,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1990,1A2E,ABFLOW022,Oil,,,,,,,,,,,,,,,
Guangdong Province,1990,1A2F,ABFLOW019,Coal,,,,,,,,,,,,,,,
Guangdong Province,1990,1A2F,ABFLOW019,Natural gas,,,,,,,,,,,,,,,
Guangdong Province,1990,1A2F,ABFLOW019,Oil,,,,,,,,,,,,,,,
Guangdong Province,1990,1A2G,ABFLOW020,Coal,,,,,,,,,,,,,,,
Guangdong Province,1990,1A2G,ABFLOW020,Natural gas,,,,,,,,,,,,,,,
